    1024	   8	       128	     0.010
    1024	  16	        64	     0.012
    1024	  32	        32	     0.014
    1024	  64	        16	     0.011
    1024	 128	         8	     0.015
    1024	 256	         4	     0.016
    1024	 512	         2	     0.020
    4096	   8	       512	     0.049
    4096	  16	       256	     0.053
    4096	  32	       128	     0.056
    4096	  64	        64	     0.044
    4096	 128	        32	     0.060
    4096	 256	        16	     0.058
    4096	 512	         8	     0.057
   16384	   8	      2048	     0.174
   16384	  16	      1024	     0.227
   16384	  32	       512	     0.197
   16384	  64	       256	     0.240
   16384	 128	       128	     0.231
   16384	 256	        64	     0.156
   16384	 512	        32	     0.225
   65536	   8	      8192	     0.762
   65536	  16	      4096	     0.963
   65536	  32	      2048	     0.916
   65536	  64	      1024	     0.810
   65536	 128	       512	     0.792
   65536	 256	       256	     0.957
   65536	 512	       128	     0.770
  262144	   8	     32768	     0.529
  262144	  16	     16384	     0.005
  262144	  32	      8192	     0.984
  262144	  64	      4096	     1.222
  262144	 128	      2048	     0.845
  262144	 256	      1024	     1.081
  262144	 512	       512	     1.448
 1048576	   8	    131072	     1.738
 1048576	  16	     65536	     2.459
 1048576	  32	     32768	     2.714
 1048576	  64	     16384	     3.613
 1048576	 128	      8192	     2.184
 1048576	 256	      4096	     2.425
 1048576	 512	      2048	     2.924
 2097152	   8	    262144	     2.314
 2097152	  16	    131072	     3.947
 2097152	  32	     65536	     4.899
 2097152	  64	     32768	     4.191
 2097152	 128	     16384	     5.554
 2097152	 256	      8192	     4.805
 2097152	 512	      4096	     5.759
 4194304	   8	    524288	     2.162
 4194304	  16	    262144	     4.076
 4194304	  32	    131072	     3.919
 4194304	  64	     65536	     6.635
 4194304	 128	     32768	     8.311
 4194304	 256	     16384	     7.956
 4194304	 512	      8192	     7.281
 8388608	   8	   1048576	     3.099
 8388608	  16	    524288	     5.382
 8388608	  32	    262144	     7.560
 8388608	  64	    131072	    10.759
 8388608	 128	     65536	    11.555
 8388608	 256	     32768	    11.597
 8388608	 512	     16384	    11.458
