    1024,    8,        128,      0.015
    1024,   16,         64,      0.011
    1024,   32,         32,      0.014
    1024,   64,         16,      0.012
    1024,  128,          8,      0.012
    1024,  256,          4,      0.011
    1024,  512,          2,      0.011
    4096,    8,        512,      0.056
    4096,   16,        256,      0.051
    4096,   32,        128,      0.058
    4096,   64,         64,      0.056
    4096,  128,         32,      0.074
    4096,  256,         16,      0.055
    4096,  512,          8,      0.041
   16384,    8,       2048,      0.234
   16384,   16,       1024,      0.283
   16384,   32,        512,      0.282
   16384,   64,        256,      0.249
   16384,  128,        128,      0.227
   16384,  256,         64,      0.230
   16384,  512,         32,      0.193
   65536,    8,       8192,      0.761
   65536,   16,       4096,      0.884
   65536,   32,       2048,      0.891
   65536,   64,       1024,      1.230
   65536,  128,        512,      1.069
   65536,  256,        256,      1.255
   65536,  512,        128,      0.851
  262144,    8,      32768,      0.737
  262144,   16,      16384,      0.191
  262144,   32,       8192,      1.252
  262144,   64,       4096,      0.819
  262144,  128,       2048,      1.370
  262144,  256,       1024,      0.848
  262144,  512,        512,      1.279
 1048576,    8,     131072,      1.993
 1048576,   16,      65536,      0.139
 1048576,   32,      32768,      0.148
 1048576,   64,      16384,      2.964
 1048576,  128,       8192,      3.476
 1048576,  256,       4096,      4.150
 1048576,  512,       2048,      3.172
 2097152,    8,     262144,      2.226
 2097152,   16,     131072,      3.399
 2097152,   32,      65536,      4.998
 2097152,   64,      32768,      0.159
 2097152,  128,      16384,      6.302
 2097152,  256,       8192,      5.627
 2097152,  512,       4096,      7.036
 4194304,    8,     524288,      2.541
 4194304,   16,     262144,      4.104
 4194304,   32,     131072,      6.100
 4194304,   64,      65536,      8.983
 4194304,  128,      32768,      8.258
 4194304,  256,      16384,      7.772
 4194304,  512,       8192,      8.418
 8388608,    8,    1048576,      2.728
 8388608,   16,     524288,      4.905
 8388608,   32,     262144,      8.042
 8388608,   64,     131072,     11.424
 8388608,  128,      65536,     10.534
 8388608,  256,      32768,     10.892
 8388608,  512,      16384,     11.934
